0,1,2,3
5.394877,2.597526,4.117699,1.1817956
5.590157,2.6718473,4.4020696,1.3452839
5.4548826,2.6240668,4.2478843,1.2428463
5.2850833,2.5387459,3.8791678,1.0833222
5.567395,2.698079,4.607019,1.2953147
5.6021156,2.5468206,4.4775734,1.3338311
5.337297,2.5360734,4.031388,1.1766132
5.6127105,2.78275,4.734289,1.4097161
5.3434873,2.549088,4.0369344,1.1207659
5.395926,2.5947444,3.9950752,1.160615
5.8686924,2.8291168,5.316795,1.6057606
5.9813647,2.8287604,5.4260006,1.6553863
5.5521975,2.6472175,4.462268,1.3027267
5.842847,2.6927392,4.9602957,1.4507002
5.804084,2.7536435,4.841637,1.4365404
5.798648,2.7330685,4.802682,1.3673601
5.3252354,2.5118861,4.1209545,1.1741036
5.717177,2.6911492,4.6968727,1.3716058
5.736406,2.7526178,4.8073177,1.3845521
5.7991867,2.8550053,4.973963,1.4239088
5.8451834,2.757914,5.1620545,1.5909007
5.515149,2.612031,4.2016506,1.2567158
5.8166466,2.8247955,4.859942,1.4604548
5.7211485,2.7270126,4.6321507,1.399707
5.4326344,2.5493886,4.5228477,1.3080906
5.745542,2.664753,4.8858304,1.4540926
6.063493,2.8749743,5.484993,1.621035
5.6957355,2.6631062,4.6883597,1.3430119
5.8751774,2.7875247,5.135094,1.5011479
5.8662815,2.6855226,4.949045,1.4518312
6.0389943,2.9540832,5.6545496,1.7654308
5.5634995,2.704492,4.4537106,1.2501477
5.852674,2.844161,5.2726016,1.6192815
5.5170965,2.6119986,4.5309114,1.2372756
5.426787,2.6622424,4.147822,1.1771166
5.7178645,2.7259827,4.8590126,1.4608629
5.299965,2.491745,3.8139727,1.0811273
5.5433593,2.6516302,4.363679,1.3430052
5.3774247,2.5846765,4.133158,1.1775602
5.4946647,2.6284359,4.4681506,1.3093337
5.580747,2.6466727,4.6525736,1.338871
5.62901,2.7112997,4.68223,1.4177659
5.4435363,2.5738034,4.294715,1.1981386
5.5183105,2.692268,4.2973814,1.2837595
5.760154,2.7875166,4.840738,1.5092473
5.4961386,2.6229203,4.282968,1.3008423
5.6451497,2.7193217,4.6970367,1.385133
5.6975546,2.7280657,4.676372,1.3129963
5.33459,2.5781953,3.8760302,1.1301322
5.496548,2.6333394,4.46675,1.2721376
5.3905034,2.6319976,4.1330185,1.1527629
5.388603,2.5170805,4.001096,1.1239626
5.953716,2.7511194,5.278951,1.426913
5.596101,2.7286506,4.483187,1.3771172
5.4130006,2.6058416,4.055357,1.1889049
5.649281,2.7341957,4.97519,1.4873948
5.6875386,2.7570188,4.580354,1.3705802
5.3890314,2.5425658,4.249696,1.1722345
5.8980517,2.702285,5.056356,1.5145841
5.822264,2.7504613,4.904743,1.4266994
5.90962,2.7779787,4.828615,1.5141871
5.631317,2.6438866,4.611799,1.3873152
5.4225388,2.644412,4.204951,1.2228326
5.5261283,2.6742492,4.430464,1.30283
5.6279163,2.7099633,4.9779754,1.5064895
5.369569,2.5574903,4.0524282,1.1716771
5.792259,2.731883,5.01318,1.5902464
5.703483,2.81064,5.0170836,1.5281553
5.4701324,2.6433465,4.2845263,1.1754934
5.845401,2.781385,5.0248713,1.4167635
5.5867424,2.6614907,4.461544,1.3455786
5.506605,2.5834377,4.3091416,1.3415009
5.630822,2.66464,4.479875,1.3200583
5.591509,2.6787047,4.5353365,1.3992641
5.7793403,2.7348442,4.9774623,1.5250562
5.664092,2.673915,4.590634,1.369971
5.2857842,2.5322075,3.837574,1.0798148
5.42657,2.60261,3.903134,1.1540688
5.585479,2.704657,4.461056,1.3295381
5.6122427,2.7350512,4.526755,1.3538442
5.7746944,2.725654,4.652555,1.4446799
5.3841233,2.5666041,4.130659,1.1554121
5.6521816,2.6828065,4.687517,1.3365486
5.4077396,2.5679543,4.2242584,1.2154719
5.3155346,2.4649253,3.9037066,1.0898231
5.3665905,2.5832293,4.091918,1.1930083
5.6693,2.7063305,4.581238,1.389853
5.5145507,2.6366932,4.3038874,1.3363068
5.844644,2.702477,4.8479853,1.495224
5.599219,2.6630747,4.4154015,1.1786245
5.307764,2.5491886,3.9747195,1.1649963
5.2879796,2.5978403,3.9426842,1.1188217
5.2945437,2.5459146,3.8878977,1.1239465
