age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country
57.081528,300932.7,5.484888,304.13278,0.14710686,37.865658,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.306534,289301.3,5.2874937,137.7822,0.00789142,36.366245,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
56.561558,303665.16,5.591737,296.0507,0.31491584,37.58763,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.382862,302756.8,5.580556,240.89001,0.063175105,37.564392,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.554916,283031.53,5.1391554,107.43897,0.011063157,37.613365,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.20147,278300.38,4.96751,88.59171,0.017725067,37.426895,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
61.25881,287801.03,4.7869024,88.12114,0.019626796,37.007954,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.291595,297081.84,5.458848,213.74129,0.08284651,37.635845,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.70008,292012.1,5.2828856,208.91788,0.039652444,37.111115,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.42671,296023.38,5.4892883,237.4765,0.07768266,37.833504,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.36325,292717.2,5.2815104,181.55583,0.08791932,37.225006,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.354744,292934.88,5.4387717,221.03389,0.06390826,37.369633,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.36723,287528.78,5.1311603,115.77053,0.024384534,37.233467,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.810482,275886.34,4.981773,101.52207,0.008395919,37.402664,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
60.046455,281311.3,4.9577417,81.25497,0.0042740614,36.37171,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.1651,292396.06,5.4649787,342.91315,0.06713344,37.423958,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.163387,273428.2,4.8870854,66.9353,0.0063893837,36.71683,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.861324,297465.8,5.4328146,247.86382,0.09098362,37.882088,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.498722,312663.16,5.708365,399.91043,0.18330827,37.434708,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.065395,281370.62,5.064267,80.28712,0.027810013,36.612858,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.248455,286551.06,5.225374,196.72174,0.009325938,36.675285,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.19461,296921.6,5.6080146,285.90668,0.056630317,37.317142,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.135525,311451.2,5.785169,416.75757,0.24135275,37.938705,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.813667,275837.12,4.886177,95.90791,0.008091945,37.270664,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.61534,300493.38,5.340887,158.54199,0.055664107,38.20052,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
60.66181,287702.88,4.7583613,21.63483,0.001185384,36.31558,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.14814,290689.47,5.4610953,287.39066,0.05435896,37.13298,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.143925,286314.12,5.2603416,185.47562,0.06388359,37.588127,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
60.25636,273980.97,4.673653,30.994743,0.00031375696,38.75194,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.870934,288448.8,5.2479663,130.24974,0.023907378,36.814335,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.34954,274570.75,4.8633795,68.55377,0.01128609,37.327087,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.51002,274241.97,4.8277197,94.98015,0.0031241865,37.127644,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.608665,285283.6,4.99689,111.634346,0.008444985,36.770893,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
60.34604,280392.03,4.9657664,51.845516,0.0018350044,36.231426,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.791157,292788.25,5.29617,115.85884,0.016129939,37.059544,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.0767,287370.4,5.388837,156.78842,0.07447732,37.192852,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.915096,291558.34,5.2947965,253.59178,0.12848526,37.793682,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.82269,285252.6,5.1219697,110.08816,0.010899826,37.287907,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.76813,293159.94,5.351097,246.95024,0.044081744,37.301414,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.760048,285503.9,5.18268,135.82457,0.06575216,37.17047,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.570194,281598.88,5.1235604,81.43155,0.034990363,36.47768,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.973133,285447.62,4.970883,91.563774,0.0021719842,36.91361,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.252766,297740.22,5.3240366,176.17607,0.027244955,36.654366,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.040028,298643.44,5.358494,118.10462,0.012464845,36.503407,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
56.803356,310560.0,5.637017,445.0646,0.17599687,37.920364,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.38429,277425.5,5.0684023,109.17454,0.013195502,36.871258,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
60.432735,285942.75,5.070087,70.432175,0.0032181586,36.215046,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.387653,293238.44,5.4289923,250.29,0.056790404,37.537365,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.91957,279989.53,5.095294,118.119415,0.019976791,37.132507,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
61.006447,303357.72,5.1200786,80.82665,0.0060687335,36.7322,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.035725,301538.66,5.650805,356.09708,0.09019806,37.624783,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
56.86718,300386.06,5.6566215,380.9089,0.09317219,37.784554,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.060383,300677.94,5.280459,147.80836,0.034615114,37.126736,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.592213,290395.62,5.404058,148.9416,0.027916087,36.94545,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.53849,281382.78,5.126462,119.52292,0.011340511,37.0381,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
56.92697,288999.22,5.4160037,195.0695,0.037356056,37.25057,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.960728,295047.22,5.3316655,185.39308,0.042182375,37.21073,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.5235,294126.06,5.381404,226.86107,0.065885544,37.76959,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.01606,277483.25,5.0742664,185.4202,0.024303533,37.130577,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.53305,268632.34,4.609455,23.123854,0.0003450326,38.30689,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
60.30427,285444.06,4.97458,57.701447,0.003920603,36.04299,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.39998,305624.34,5.5088587,344.14694,0.03228865,37.649704,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.80006,282146.6,5.0961146,107.42766,0.007032458,36.734764,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.648235,286047.12,5.24931,109.67583,0.031072875,37.15716,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.07325,267748.88,4.8597026,84.94524,0.008980727,37.008465,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.20735,295603.03,5.2108035,156.23175,0.02707819,36.996063,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.88767,282380.9,5.111869,141.2927,0.00851191,37.230465,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
56.656857,307835.25,5.6915684,369.54202,0.21921861,37.665073,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.00845,297020.88,5.3601146,211.67204,0.03392596,37.270004,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.477592,273458.4,4.805633,45.181145,0.004301442,36.63844,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
60.34597,256073.69,4.333043,12.811437,0.0009807134,35.57084,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.20641,272565.44,4.843638,93.44322,0.010435024,36.64496,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.64651,284933.97,5.218473,152.41316,0.0066279904,36.42942,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.53642,306867.03,5.627573,265.60135,0.1237873,37.82587,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.467644,298855.94,5.168142,52.717785,0.0041626487,37.081516,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.102406,303704.88,5.6587243,264.79782,0.07705374,37.9899,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.01962,289572.78,5.3510685,181.8163,0.046795946,37.673218,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.662434,289959.06,5.4017467,184.32497,0.032001372,37.522392,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
60.703194,287548.2,5.022106,84.78036,0.004393355,36.650135,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.717457,286805.2,5.1705947,137.57068,0.0067708967,36.81019,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.050682,291022.75,5.4482083,234.98523,0.16387309,37.936687,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.099205,298090.0,5.4113436,179.42249,0.027374575,37.025143,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.077682,294939.34,5.1102486,141.35298,0.050545726,37.668747,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.670868,291310.72,5.2616067,222.34746,0.04505894,37.605247,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.287098,290348.8,5.3634825,141.9539,0.07485407,36.91157,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
62.210762,264522.5,4.440075,20.110779,0.00017593289,35.351124,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
56.751755,295033.3,5.5636263,314.4021,0.17360516,37.7194,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.494602,288538.9,5.243416,132.78969,0.015669469,37.090702,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.871983,287754.2,5.2660847,175.86464,0.03324586,37.098026,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.31213,289853.22,5.239,134.43295,0.01849678,37.139572,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.547203,287285.03,5.320475,228.23157,0.047883835,37.22303,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.74848,286260.97,5.313915,161.47408,0.051746093,37.434372,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.835457,279924.53,5.0579653,88.87804,0.0062121926,36.93774,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.804974,286935.12,5.2137933,176.5762,0.03317498,37.176437,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.14269,305433.38,5.55057,255.8633,0.041154966,36.83827,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.062275,280252.5,5.0390906,100.604965,0.00880615,37.08372,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.867287,283630.06,5.3166122,176.67339,0.026337082,37.468597,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
61.115013,278183.72,4.776674,26.799809,0.00064558274,35.220078,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.55563,283491.34,5.069542,89.07859,0.027356911,37.131214,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.98881,271516.78,4.750524,63.377083,0.004357744,36.570354,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.460445,281561.06,5.0991173,87.84014,0.014429518,36.96457,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.433247,285592.5,5.0379286,117.71949,0.013667839,35.968502,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.410088,278532.8,4.7048874,30.66926,0.00066457246,37.590984,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.81855,289777.34,5.01794,101.15211,0.007908568,36.108795,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.22405,294155.72,5.356083,138.59642,0.058234453,37.236088,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.40899,304787.16,5.617342,366.58395,0.07270409,37.941174,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.558544,276499.34,4.961197,104.811325,0.019747596,37.596954,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
56.815437,297927.03,5.635213,335.28012,0.15393606,37.61293,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.44438,273539.78,4.838873,47.75492,0.006771103,35.88037,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.309593,298183.56,5.258837,125.254005,0.02875146,36.045742,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.29124,297799.7,5.2430096,220.39812,0.026617866,37.24715,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.63702,285521.75,5.157606,176.86108,0.030223588,37.50549,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.54351,271819.78,4.8425617,48.541046,0.0036921676,36.4709,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.437782,286641.0,5.373396,216.90817,0.05763434,37.43483,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.092476,290044.06,5.288544,225.87111,0.0399156,36.671238,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
60.144775,303265.28,5.262045,107.65346,0.005573436,36.93736,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.281536,254478.38,4.614791,26.185095,0.0038954832,36.078938,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.6624,269130.53,4.8306637,37.975132,0.0055595804,36.395435,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
56.607506,310411.16,5.781416,480.1791,0.16563387,38.22401,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.11167,255805.62,4.535017,28.357512,0.0017491176,35.982777,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.75339,292981.06,5.4640923,176.3819,0.037975457,36.95022,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.19449,286205.66,5.4094405,163.77283,0.0546318,36.755054,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.153103,285227.8,5.2210593,125.68161,0.033440724,37.41956,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.536205,266865.5,4.6613646,53.42906,0.0033399183,36.08231,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.14065,302436.16,5.648035,273.4568,0.08314839,37.61313,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
56.765358,295712.8,5.5346837,259.16733,0.20930026,37.60343,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.518925,291622.3,5.3063154,152.37956,0.049556226,37.034817,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.19979,298430.03,5.5679374,248.01805,0.06523021,37.589874,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.445744,302690.2,5.4247394,172.06813,0.056311063,36.886936,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.15715,300875.25,5.623303,395.08655,0.067642994,37.591,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.908916,282252.9,5.2184105,161.23343,0.015053987,37.155956,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.03901,303971.94,5.671334,369.3002,0.10435759,37.67594,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.8822,294098.22,5.4098763,218.3965,0.039030623,37.352898,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.9338,282814.6,5.018445,93.799355,0.0048567154,36.666115,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.928753,284786.12,5.095852,136.08334,0.026459027,36.918175,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
60.07823,284531.78,4.9128876,41.14374,0.0019991214,35.62365,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.194744,284754.7,5.0548253,115.33266,0.012646438,36.64847,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
61.281464,274076.7,4.81008,41.734425,0.0021475726,36.310852,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
56.729397,305446.06,5.71929,366.38406,0.17667067,37.758755,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.64668,288829.88,5.278295,180.65305,0.026914218,37.436787,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
60.59036,245645.12,4.4892316,14.771468,9.902203e-05,38.32366,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.07743,280660.12,5.1871815,83.953026,0.025430653,36.5279,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
59.0319,280903.47,4.9345055,45.531723,0.0024265568,36.89308,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.10547,285912.94,5.1745925,123.88015,0.015577211,36.663235,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
57.954212,300100.06,5.4588137,153.1275,0.066486426,37.53055,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
58.782253,270647.28,4.8373756,33.331608,0.004271853,35.818134,Private,9th,Divorced,Other-service,Not-in-family,White,Female,United-States
